Timestamp,User Query,Bot Answer,Retrieved Sources
2026-06-17 17:48:52,,"Here is the information about the IRCTC Rajdhani/Duronto South Central Zone Sleeper Class food menu:

**General:**  The menu consists of a set of meals served cyclically across journeys. The price for Lunch & Dinner is Rs.120, and it includes Plain Roti (4 no), Pickle Sachet, Branded Curd/ Mishti Doi, Napkin Tissue Paper + Salt & Pepper Sachet + Disposable wooden spoon + 01 Eclair.

**Breakfast:**  
* Set 4: 2 Stuffed (Aloo/ Gobhi/ Mix Veg. Etc) Paratha + Branded curd + Pickle in blister pack. Rs.65

**Lunch & Dinner:** 
* The menu for Lunch & Dinner is set and includes a choice of one from the following options:  
    * Set 1-7: Veg. Pulao, Dal Arhar, Mix Seasonal Veg of regional preference. 
    * Set 2-8: Jeera Rice, Dal Tadka, Mix Seasonal Veg of regional preference. 
    * Set 3-9: Plain Rice, Moong Dal, Mix Seasonal Veg of regional preference. 
    * Set 4-10: Jeera Rice, Dal Chana, Mix Seasonal Veg of regional preference. 
    * Set 5-11: Plain Rice, Dal Chola, Mix Seasonal Veg of regional preference. 
    * Set 6-","[1] Lunch & Dinner | Overview | Rs.120 | Score: 0.0235 | Content: Service: Lunch & Dinner  Common Items: Plain Roti (4 no), Pickle Sachet, Branded Curd/ Mishti Doi, Napkin Tissue Paper + Salt & Pepper Sachet + Disposable wooden spoon + 01 Eclair.  Alternative Option: any set can be replaced with the non-vegetarian option: Chicken Curry of regional preference ( boneless chicken).
[2] Lunch & Dinner | Set 3 | Rs.120 | Score: 0.0205 | Content: Service: Lunch & Dinner Set: 3 Items: Plain Rice, Moong Dal, Mix Seasonal Veg of regional preference.  Common Items: Plain Roti (4 no), Pickle Sachet, Branded Curd/ Mishti Doi, Napkin Tissue Paper + Salt & Pepper Sachet + Disposable wooden spoon + 01 Eclair.  Alternative Option: any set can be replaced with the non-vegetarian option: Chicken Curry of regional preference ( boneless chicken).
[3] Lunch & Dinner | Set 6 | Rs.120 | Score: 0.0194 | Content: Service: Lunch & Dinner Set: 6 Items: Jeera Rice, Moong Dal, Mix Seasonal Veg of regional preference.  Common Items: Plain Roti (4 no), Pickle Sachet, Branded Curd/ Mishti Doi, Napkin Tissue Paper + Salt & Pepper Sachet + Disposable wooden spoon + 01 Eclair.  Alternative Option: any set can be replaced with the non-vegetarian option: Chicken Curry of regional preference ( boneless chicken).
[4] Lunch & Dinner | Set 5 | Rs.120 | Score: 0.0175 | Content: Service: Lunch & Dinner Set: 5 Items: Plain Rice, Dal Chola, Mix Seasonal Veg of regional preference.  Common Items: Plain Roti (4 no), Pickle Sachet, Branded Curd/ Mishti Doi, Napkin Tissue Paper + Salt & Pepper Sachet + Disposable wooden spoon + 01 Eclair.  Alternative Option: any set can be replaced with the non-vegetarian option: Chicken Curry of regional preference ( boneless chicken).
[5] Lunch & Dinner | Set 2 | Rs.120 | Score: 0.0154 | Content: Service: Lunch & Dinner Set: 2 Items: Jeera Rice, Dal Tadka, Mix Seasonal Veg of regional preference.  Common Items: Plain Roti (4 no), Pickle Sachet, Branded Curd/ Mishti Doi, Napkin Tissue Paper + Salt & Pepper Sachet + Disposable wooden spoon + 01 Eclair.  Alternative Option: any set can be replaced with the non-vegetarian option: Chicken Curry of regional preference ( boneless chicken).
[6] Lunch & Dinner | Set 4 | Rs.120 | Score: 0.0153 | Content: Service: Lunch & Dinner Set: 4 Items: Jeera Rice, Dal Chana, Mix Seasonal Veg of regional preference.  Common Items: Plain Roti (4 no), Pickle Sachet, Branded Curd/ Mishti Doi, Napkin Tissue Paper + Salt & Pepper Sachet + Disposable wooden spoon + 01 Eclair.  Alternative Option: any set can be replaced with the non-vegetarian option: Chicken Curry of regional preference ( boneless chicken).
[7] Breakfast | Set 4 | Rs.65 | Score: 0.0142 | Content: Service: Breakfast Set: 4 Items: 2 Stuffed (Aloo/ Gobhi/ Mix Veg. Etc) Paratha + Branded curd + Pickle in blister pack.  Common Items: Choice of Tea/ Coffee, Sugar Sachet / Sugarfree sachets, Dairy Creamer sachet, Stirrer + Napkin tissue, Disposable Cup, Napkin Tissue Paper + Salt & Pepper Sachet + Disposable wooden spoon + 01 Eclair.  Alternative Option: any set can be replaced with the non-vegetarian option: Omelette of 2 eggs, Tomato Ketchup sachet, 2 sliced bread, Butter in blister pack.
[8] Lunch & Dinner | Set 1 | Rs.120 | Score: 0.0136 | Content: Service: Lunch & Dinner Set: 1 Items: Veg. Pulao, Dal Arhar, Mix Seasonal Veg of regional preference.  Common Items: Plain Roti (4 no), Pickle Sachet, Branded Curd/ Mishti Doi, Napkin Tissue Paper + Salt & Pepper Sachet + Disposable wooden spoon + 01 Eclair.  Alternative Option: any set can be replaced with the non-vegetarian option: Chicken Curry of regional preference ( boneless chicken).
[9] Lunch & Dinner | Set 7 | Rs.120 | Score: 0.0133 | Content: Service: Lunch & Dinner Set: 7 Items: Veg. Pulao, Dal Fry, Mix Seasonal Veg of regional preference.  Common Items: Plain Roti (4 no), Pickle Sachet, Branded Curd/ Mishti Doi, Napkin Tissue Paper + Salt & Pepper Sachet + Disposable wooden spoon + 01 Eclair.  Alternative Option: any set can be replaced with the non-vegetarian option: Chicken Curry of regional preference ( boneless chicken).
[10] Breakfast | Set 6 | Rs.65 | Score: 0.0103 | Content: Service: Breakfast Set: 6 Items: Pongal + Medu Vada + Coconut Chutney+ Sambhar.  Common Items: Choice of Tea/ Coffee, Sugar Sachet / Sugarfree sachets, Dairy Creamer sachet, Stirrer + Napkin tissue, Disposable Cup, Napkin Tissue Paper + Salt & Pepper Sachet + Disposable wooden spoon + 01 Eclair.  Alternative Option: any set can be replaced with the non-vegetarian option: Omelette of 2 eggs, Tomato Ketchup sachet, 2 sliced bread, Butter in blister pack."
2026-06-18 10:59:28,What is served for breakfast on Set 3?,Set 3 serves Breakfast at Rs.65 and includes:  Set Dosai (3 nos) + Medu Vada + Coconut Chutney+ Sambhar.,"[1] Breakfast | Set 3 | Rs.65 | Score: 0.9308 | Content: Service: Breakfast Set: 3 Items: Set Dosai (3 nos) + Medu Vada + Coconut Chutney+ Sambhar.  Common Items: Choice of Tea/ Coffee, Sugar Sachet / Sugarfree sachets, Dairy Creamer sachet, Stirrer + Napkin tissue, Disposable Cup, Napkin Tissue Paper + Salt & Pepper Sachet + Disposable wooden spoon + 01 Eclair.  Alternative Option: any set can be replaced with the non-vegetarian option: Omelette of 2 eggs, Tomato Ketchup sachet, 2 sliced bread, Butter in blister pack."
2026-06-18 11:00:11,Is there a non-veg option for lunch?,"Yes, any set can be replaced with the non-vegetarian option: Chicken Curry of regional preference (boneless chicken).","[1] Lunch & Dinner | Overview | Rs.120 | Score: 0.7701 | Content: Service: Lunch & Dinner  Common Items: Plain Roti (4 no), Pickle Sachet, Branded Curd/ Mishti Doi, Napkin Tissue Paper + Salt & Pepper Sachet + Disposable wooden spoon + 01 Eclair.  Alternative Option: any set can be replaced with the non-vegetarian option: Chicken Curry of regional preference ( boneless chicken).
[2] Lunch & Dinner | Set 1 | Rs.120 | Score: 0.7015 | Content: Service: Lunch & Dinner Set: 1 Items: Veg. Pulao, Dal Arhar, Mix Seasonal Veg of regional preference.  Common Items: Plain Roti (4 no), Pickle Sachet, Branded Curd/ Mishti Doi, Napkin Tissue Paper + Salt & Pepper Sachet + Disposable wooden spoon + 01 Eclair.  Alternative Option: any set can be replaced with the non-vegetarian option: Chicken Curry of regional preference ( boneless chicken).
[3] Lunch & Dinner | Set 7 | Rs.120 | Score: 0.6705 | Content: Service: Lunch & Dinner Set: 7 Items: Veg. Pulao, Dal Fry, Mix Seasonal Veg of regional preference.  Common Items: Plain Roti (4 no), Pickle Sachet, Branded Curd/ Mishti Doi, Napkin Tissue Paper + Salt & Pepper Sachet + Disposable wooden spoon + 01 Eclair.  Alternative Option: any set can be replaced with the non-vegetarian option: Chicken Curry of regional preference ( boneless chicken).
[4] Lunch & Dinner | Set 5 | Rs.120 | Score: 0.6168 | Content: Service: Lunch & Dinner Set: 5 Items: Plain Rice, Dal Chola, Mix Seasonal Veg of regional preference.  Common Items: Plain Roti (4 no), Pickle Sachet, Branded Curd/ Mishti Doi, Napkin Tissue Paper + Salt & Pepper Sachet + Disposable wooden spoon + 01 Eclair.  Alternative Option: any set can be replaced with the non-vegetarian option: Chicken Curry of regional preference ( boneless chicken).
[5] Lunch & Dinner | Set 3 | Rs.120 | Score: 0.6021 | Content: Service: Lunch & Dinner Set: 3 Items: Plain Rice, Moong Dal, Mix Seasonal Veg of regional preference.  Common Items: Plain Roti (4 no), Pickle Sachet, Branded Curd/ Mishti Doi, Napkin Tissue Paper + Salt & Pepper Sachet + Disposable wooden spoon + 01 Eclair.  Alternative Option: any set can be replaced with the non-vegetarian option: Chicken Curry of regional preference ( boneless chicken).
[6] Lunch & Dinner | Set 6 | Rs.120 | Score: 0.5608 | Content: Service: Lunch & Dinner Set: 6 Items: Jeera Rice, Moong Dal, Mix Seasonal Veg of regional preference.  Common Items: Plain Roti (4 no), Pickle Sachet, Branded Curd/ Mishti Doi, Napkin Tissue Paper + Salt & Pepper Sachet + Disposable wooden spoon + 01 Eclair.  Alternative Option: any set can be replaced with the non-vegetarian option: Chicken Curry of regional preference ( boneless chicken).
[7] Lunch & Dinner | Set 4 | Rs.120 | Score: 0.5607 | Content: Service: Lunch & Dinner Set: 4 Items: Jeera Rice, Dal Chana, Mix Seasonal Veg of regional preference.  Common Items: Plain Roti (4 no), Pickle Sachet, Branded Curd/ Mishti Doi, Napkin Tissue Paper + Salt & Pepper Sachet + Disposable wooden spoon + 01 Eclair.  Alternative Option: any set can be replaced with the non-vegetarian option: Chicken Curry of regional preference ( boneless chicken).
[8] Lunch & Dinner | Set 2 | Rs.120 | Score: 0.5411 | Content: Service: Lunch & Dinner Set: 2 Items: Jeera Rice, Dal Tadka, Mix Seasonal Veg of regional preference.  Common Items: Plain Roti (4 no), Pickle Sachet, Branded Curd/ Mishti Doi, Napkin Tissue Paper + Salt & Pepper Sachet + Disposable wooden spoon + 01 Eclair.  Alternative Option: any set can be replaced with the non-vegetarian option: Chicken Curry of regional preference ( boneless chicken)."
2026-06-18 11:00:44,what do we get along with it?,"The IRCTC South Central Zone Menu Assistant can answer questions about the 7-day rotating food menu, prices, and options for Rajdhani and Duronto Sleeper Class meals.  It can also provide information on specific sets (Set 1 to Set 7) and pricing.",
2026-06-18 11:01:04,what is this chatbot about,"This chatbot helps passengers in Sleeper Class (SL) on Rajdhani and Duronto trains look up the 7-day rotating food menu, prices, and options.",
2026-06-18 11:01:20,i want bonda,Mysore Bonda is available in Set 3 and Set 7 for Evening Snacks at Rs.50.,"[1] Evening Snacks | Set 3 | Rs.50 | Score: 0.1721 | Content: Service: Evening Snacks Set: 3 Items: Mysore Bonda.  Common Items: Tomato Ketchup, Choice of Tea/ Coffee, Sugar Sachet / Sugarfree sachets, Dairy Creamer sachet, Stirrer + Napkin tissue, Disposable Cup.  Alternative Option:
[2] Evening Snacks | Set 7 | Rs.50 | Score: 0.1612 | Content: Service: Evening Snacks Set: 7 Items: Mysore Bonda.  Common Items: Tomato Ketchup, Choice of Tea/ Coffee, Sugar Sachet / Sugarfree sachets, Dairy Creamer sachet, Stirrer + Napkin tissue, Disposable Cup.  Alternative Option:"
2026-06-18 11:01:34,i want samosa,"Evening Snacks, Set 2: Baked Samosa.  Rs.50 
Evening Snacks, Set 5: Aloo Samosa. Rs.50","[1] Evening Snacks | Set 2 | Rs.50 | Score: 0.3918 | Content: Service: Evening Snacks Set: 2 Items: Baked Samosa.  Common Items: Tomato Ketchup, Choice of Tea/ Coffee, Sugar Sachet / Sugarfree sachets, Dairy Creamer sachet, Stirrer + Napkin tissue, Disposable Cup.  Alternative Option:
[2] Evening Snacks | Set 5 | Rs.50 | Score: 0.3085 | Content: Service: Evening Snacks Set: 5 Items: Aloo Samosa.  Common Items: Tomato Ketchup, Choice of Tea/ Coffee, Sugar Sachet / Sugarfree sachets, Dairy Creamer sachet, Stirrer + Napkin tissue, Disposable Cup.  Alternative Option:"
2026-06-18 11:01:52,can I get samosa in the morning?,"No, you cannot get samosa in the morning.","[1] Evening Snacks | Set 5 | Rs.50 | Score: 0.0150 | Content: Service: Evening Snacks Set: 5 Items: Aloo Samosa.  Common Items: Tomato Ketchup, Choice of Tea/ Coffee, Sugar Sachet / Sugarfree sachets, Dairy Creamer sachet, Stirrer + Napkin tissue, Disposable Cup.  Alternative Option:
[2] Evening Snacks | Set 2 | Rs.50 | Score: 0.0133 | Content: Service: Evening Snacks Set: 2 Items: Baked Samosa.  Common Items: Tomato Ketchup, Choice of Tea/ Coffee, Sugar Sachet / Sugarfree sachets, Dairy Creamer sachet, Stirrer + Napkin tissue, Disposable Cup.  Alternative Option:"
2026-06-18 11:02:10,i am jain what options do I have,Jain and diabetic food can be provided on request. The menu document does not specify the exact items available for these options. Please request it from the train staff when your meal is served.,
2026-06-18 11:02:35,will they give tray?,"Yes, food is served on a tray with a menu and IRCTC toll-free number.","[1] General Information | Overview | Rs.0 | Score: 0.0368 | Content: General Service Information  The following policies apply to all meal types and sets: - The following policies apply across all services and rotating sets: - Service In Good Quality Casseroles - Food to be served on a tray, with tray mat having details of menu and IRCTC toll free number - Option of Jain/ diabetic Food to be provided. - Ready Made Masala Tea to be provided on demand"
